id_artista,name,followers,genres
315,Projota,5042677.0,"brazilian hip hop, brazilian rock, pop nacional"
316,Rage Against The Machine,5040763.0,"alternative metal, alternative rock, conscious hip hop, funk metal, nu metal, political hip hop, rap metal, rap rock, rock"
317,Bruce Springsteen,5037997.0,"classic rock, heartland rock, mellow gold, permanent wave, rock, singer-songwriter"
318,John Lennon,5034454.0,"album rock, art rock, beatlesque, classic rock, folk rock, mellow gold, rock"
319,Kevin Roldan,5010647.0,"latin hip hop, perreo, reggaeton, reggaeton colombiano, reggaeton flow, trap latino"
320,Eric Clapton,5005500.0,"blues rock, classic rock, electric blues, mellow gold, rock, soft rock"
321,Lizzo,4995092.0,"dance pop, escape room, minnesota hip hop, pop, trap queen"
322,Sin Bandera,4985986.0,"latin arena pop, latin pop, mexican pop"
323,Sfera Ebbasta,4975040.0,"italian hip hop, italian pop, trap italiana"
324,Van Halen,4967170.0,"album rock, classic rock, hard rock, metal, rock"
325,Cazzu,4963164.0,"argentine hip hop, rap latina, reggaeton, trap argentino, trap latino"
326,Clean Bandit,4901516.0,"dance pop, edm, pop, pop dance, tropical house, uk dance, uk funky, uk pop"
327,Florida Georgia Line,4896828.0,"contemporary country, country, country pop, country road, modern country rock"
328,Cosculluela,4891629.0,"latin hip hop, reggaeton, reggaeton flow, trap latino"
329,Felipe Araújo,4888705.0,"arrocha, sertanejo, sertanejo pop, sertanejo universitario"
330,Keith Urban,4846109.0,"australian country, australian pop, contemporary country, country, country road"
331,Lil Skies,4820131.0,"melodic rap, rap, trap"
332,J Alvarez,4816928.0,"latin hip hop, reggaeton, reggaeton flow, trap latino"
333,Fiersa Besari,4812008.0,"bandung indie, indonesian folk pop, indonesian indie, indonesian pop, indonesian pop punk"
334,Official HIGE DANdism,4802003.0,"anime, anime rock, j-pop"
335,Cigarettes After Sex,4798187.0,"ambient pop, dream pop, el paso indie, shoegaze"
336,Nacho,4780149.0,"dominican pop, latin pop, pop venezolano, reggaeton"
337,blackbear,4772667.0,"electropop, pop, pop rap"
338,Marcos & Belutti,4767159.0,"sertanejo, sertanejo pop, sertanejo universitario"
